Genome	Organism/Name	Strain	CladeID	BioSample	BioProject	Group	SubGroup	Assembly	Size (Mb)	GC%	Replicons	WGS	Scaffolds	Genes	Proteins	Release Date	Modify Date	Level
GCA_000310725.1_ASM31072v1_genomic.fna	Streptococcus agalactiae FSL S3-090	FSL S3-090	20122	SAMN00991080 	PRJNA86183	Terrabacteria group	Firmicutes	GCA_000310725.1 	2.09715	35.3	-	ANCQ01	27	2113	2028	2012/11/07	2015/08/09	Contig
GCA_000310745.1_ASM31074v1_genomic.fna	Streptococcus agalactiae FSL S3-014	FSL S3-014	20122	SAMN00991078 	PRJNA86185	Terrabacteria group	Firmicutes	GCA_000310745.1 	2.16318	35.1	-	ANCR01	25	2164	2081	2012/11/07	2015/08/09	Contig
GCA_000310765.1_ASM31076v1_genomic.fna	Streptococcus agalactiae CCUG 47293	CCUG 47293	20122	SAMN00991098 	PRJNA86259	Terrabacteria group	Firmicutes	GCA_000310765.1 	2.01286	35.2	-	ANDO01	24	2018	1954	2012/11/07	2015/08/09	Contig
GCA_000310785.1_ASM31078v1_genomic.fna	Streptococcus agalactiae CCUG 49100	CCUG 49100	20122	SAMN00991089 	PRJNA86267	Terrabacteria group	Firmicutes	GCA_000310785.1 	2.09158	35.3	-	ANDR01	21	2087	2031	2012/11/07	2015/08/09	Contig
GCA_000310805.1_ASM31080v1_genomic.fna	Streptococcus agalactiae LMG 15081	LMG 15081	20122	SAMN00991091 	PRJNA86269	Terrabacteria group	Firmicutes	GCA_000310805.1 	2.04052	35.2	-	ANDS01	16	2027	1949	2012/11/07	2015/08/09	Contig
GCA_000310825.1_ASM31082v1_genomic.fna	Streptococcus agalactiae LMG 15083	LMG 15083	20122	SAMN00991092 	PRJNA86271	Terrabacteria group	Firmicutes	GCA_000310825.1 	2.0803	35.3	-	ANDT01	30	2093	2031	2012/11/07	2015/08/09	Contig
GCA_000310845.1_ASM31084v1_genomic.fna	Streptococcus agalactiae LMG 15084	LMG 15084	20122	SAMN00991093 	PRJNA86273	Terrabacteria group	Firmicutes	GCA_000310845.1 	2.07258	35.3	-	ANDU01	23	2070	1999	2012/11/07	2015/08/09	Contig
GCA_000310865.1_ASM31086v1_genomic.fna	Streptococcus agalactiae BSU252	BSU252	20122	SAMN00991119 	PRJNA86291	Terrabacteria group	Firmicutes	GCA_000310865.1 	1.98691	35.1	-	ANDX01	19	1981	1925	2012/11/07	2015/08/09	Contig
GCA_000310885.1_ASM31088v1_genomic.fna	Streptococcus agalactiae BSU447	BSU447	20122	SAMN00991116 	PRJNA86299	Terrabacteria group	Firmicutes	GCA_000310885.1 	2.13621	35.6	-	ANEA01	45	2138	2039	2012/11/07	2015/08/09	Contig
GCA_000310905.1_ASM31090v1_genomic.fna	Streptococcus agalactiae str. Gottschalk 2864	Gottschalk 2864	20122	SAMN00991145 	PRJNA86445	Terrabacteria group	Firmicutes	GCA_000310905.1 	2.07172	35.3	-	ANFA01	41	2071	1986	2012/11/07	2015/08/09	Contig
GCA_000310925.1_ASM31092v1_genomic.fna	Streptococcus agalactiae MRI Z1-048	MRI Z1-048	20122	SAMN00993337 	PRJNA86401	Terrabacteria group	Firmicutes	GCA_000310925.1 	2.02393	35.3	-	ANEQ01	135	2090	1927	2012/11/07	2015/08/09	Contig
GCA_000310945.1_ASM31094v1_genomic.fna	Streptococcus agalactiae MRI Z1-025	MRI Z1-025	20122	SAMN00993338 	PRJNA86393	Terrabacteria group	Firmicutes	GCA_000310945.1 	2.11678	35.4	-	ANEO01	26	2106	2029	2012/11/07	2015/08/09	Contig
GCA_000310965.1_ASM31096v1_genomic.fna	Streptococcus agalactiae str. Gottschalk 998A	Gottschalk 998A	20122	SAMN00991140 	PRJNA86451	Terrabacteria group	Firmicutes	GCA_000310965.1 	2.11441	35.2	-	ANFC01	41	2131	2054	2012/11/07	2015/08/09	Contig
GCA_000310985.1_ASM31098v1_genomic.fna	Streptococcus agalactiae str. Gottschalk 999B	Gottschalk 999B	20122	SAMN00991139 	PRJNA86453	Terrabacteria group	Firmicutes	GCA_000310985.1 	2.12955	35.3	-	ANFD01	28	2143	2073	2012/11/07	2015/08/09	Contig
GCA_000311005.1_ASM31100v1_genomic.fna	Streptococcus agalactiae CCUG 37740	CCUG 37740	20122	SAMN00991111 	PRJNA86233	Terrabacteria group	Firmicutes	GCA_000311005.1 	2.12861	35.1	-	ANDG01	41	2122	2031	2012/11/07	2015/08/09	Contig
GCA_000311025.1_ASM31102v1_genomic.fna	Streptococcus agalactiae STIR-CD-25	STIR-CD-25	20122	SAMN00993660 	PRJNA86365	Terrabacteria group	Firmicutes	GCA_000311025.1 	2.05428	35.2	-	ANEK01	35	2077	1998	2012/11/07	2015/08/09	Contig
GCA_000311045.1_ASM31104v1_genomic.fna	Streptococcus agalactiae MRI Z1-209	MRI Z1-209	20122	SAMN00993333 	PRJNA86405	Terrabacteria group	Firmicutes	GCA_000311045.1 	2.10394	35.3	-	ANES01	59	2121	2000	2012/11/07	2015/08/09	Contig
GCA_000311065.1_ASM31106v1_genomic.fna	Streptococcus agalactiae str. Gottschalk 19247	Gottschalk 19247	20122	SAMN02436186 	PRJNA86769	Terrabacteria group	Firmicutes	GCA_000311065.1 	1.98496	35.2	-	ANFE01	27	1981	1900	2012/11/07	2015/08/09	Contig
GCA_000311085.1_ASM31108v1_genomic.fna	Streptococcus agalactiae str. Gottschalk 13227	Gottschalk 13227	20122	SAMN00991144 	PRJNA86443	Terrabacteria group	Firmicutes	GCA_000311085.1 	2.12239	35.3	-	ANEZ01	45	2140	2054	2012/11/07	2015/08/09	Contig
GCA_000311105.1_ASM31110v1_genomic.fna	Streptococcus agalactiae FSL S3-105	FSL S3-105	20122	SAMN00993313 	PRJNA86155	Terrabacteria group	Firmicutes	GCA_000311105.1 	2.23675	35.7	-	ANCN01	89	2295	2145	2012/11/07	2015/08/14	Contig
GCA_000311125.1_ASM31112v1_genomic.fna	Streptococcus agalactiae FSL S3-442	FSL S3-442	20122	SAMN00991079 	PRJNA86189	Terrabacteria group	Firmicutes	GCA_000311125.1 	2.04535	35.3	-	ANCT01	124	2077	1940	2012/11/07	2015/08/14	Contig
GCA_000311145.1_ASM31114v1_genomic.fna	Streptococcus agalactiae FSL S3-268	FSL S3-268	20122	SAMN00991075 	PRJNA86195	Terrabacteria group	Firmicutes	GCA_000311145.1 	2.05386	35.3	-	ANCV01	74	2095	1974	2012/11/07	2015/08/09	Contig
GCA_000311165.1_ASM31116v1_genomic.fna	Streptococcus agalactiae CCUG 91	CCUG 91	20122	SAMN00991074 	PRJNA86205	Terrabacteria group	Firmicutes	GCA_000311165.1 	2.1329	35.3	-	ANCY01	25	2145	2062	2012/11/07	2015/08/09	Contig
GCA_000311185.1_ASM31118v1_genomic.fna	Streptococcus agalactiae CCUG 17336	CCUG 17336	20122	SAMN00991066 	PRJNA86207	Terrabacteria group	Firmicutes	GCA_000311185.1 	2.04417	35.4	-	ANCZ01	35	2052	1958	2012/11/07	2015/08/09	Contig
GCA_000311205.1_ASM31120v1_genomic.fna	Streptococcus agalactiae CCUG 44050	CCUG 44050	20122	SAMN00991105 	PRJNA86243	Terrabacteria group	Firmicutes	GCA_000311205.1 	2.11601	35.3	-	ANDH01	86	2126	2016	2012/11/07	2015/08/09	Contig
GCA_000311225.1_ASM31122v1_genomic.fna	Streptococcus agalactiae CCUG 44104	CCUG 44104	20122	SAMN00991101 	PRJNA86249	Terrabacteria group	Firmicutes	GCA_000311225.1 	2.12206	35.3	-	ANDJ01	173	2188	2003	2012/11/07	2015/08/09	Contig
GCA_000311245.1_ASM31124v1_genomic.fna	Streptococcus agalactiae CCUG 44186	CCUG 44186	20122	SAMN00991097 	PRJNA86255	Terrabacteria group	Firmicutes	GCA_000311245.1 	2.12596	35.5	-	ANDM01	46	2112	1998	2012/11/07	2015/08/09	Contig
GCA_000311265.1_ASM31126v1_genomic.fna	Streptococcus agalactiae LMG 15089	LMG 15089	20122	SAMN00991086 	PRJNA86277	Terrabacteria group	Firmicutes	GCA_000311265.1 	2.18188	35.4	-	ANDV01	42	2205	2109	2012/11/07	2015/08/09	Contig
GCA_000311285.1_ASM31128v1_genomic.fna	Streptococcus agalactiae STIR-CD-07	STIR-CD-07	20122	SAMN00993457 	PRJNA86349	Terrabacteria group	Firmicutes	GCA_000311285.1 	1.79555	35.2	-	ANEI01	63	1835	1644	2012/11/07	2015/08/09	Contig
GCA_000311305.1_ASM31130v1_genomic.fna	Streptococcus agalactiae MRI Z1-215	MRI Z1-215	20122	SAMN00993325 	PRJNA86415	Terrabacteria group	Firmicutes	GCA_000311305.1 	2.14112	35.3	-	ANET01	28	2118	2016	2012/11/07	2015/08/09	Contig
GCA_000311325.1_ASM31132v1_genomic.fna	Streptococcus agalactiae MRI Z1-217	MRI Z1-217	20122	SAMN00993316 	PRJNA86419	Terrabacteria group	Firmicutes	GCA_000311325.1 	2.30168	35.4	-	ANEU01	104	2398	2206	2012/11/07	2015/08/14	Contig
GCA_000311345.1_ASM31134v1_genomic.fna	Streptococcus agalactiae LDS 610	LDS 610	20122	SAMN00993324 	PRJNA86425	Terrabacteria group	Firmicutes	GCA_000311345.1 	2.01607	35.5	-	ANEW01	169	2126	1868	2012/11/07	2015/08/09	Contig
GCA_000311365.1_ASM31136v1_genomic.fna	Streptococcus agalactiae BSU260	BSU260	20122	SAMN00991138 	PRJNA86307	Terrabacteria group	Firmicutes	GCA_000311365.1 	2.17784	35.3	-	ANEC01	31	2189	2118	2012/11/07	2015/08/09	Contig
GCA_000311385.1_ASM31138v1_genomic.fna	Streptococcus agalactiae BSU451	BSU451	20122	SAMN00991131 	PRJNA86309	Terrabacteria group	Firmicutes	GCA_000311385.1 	2.08764	35.5	-	ANED01	16	2077	2010	2012/11/07	2015/08/09	Contig
GCA_000311405.1_ASM31140v1_genomic.fna	Streptococcus agalactiae BSU133	BSU133	20122	SAMN00991136 	PRJNA86313	Terrabacteria group	Firmicutes	GCA_000311405.1 	2.03392	35.3	-	ANEE01	25	2038	1969	2012/11/07	2015/08/09	Contig
GCA_000311425.1_ASM31142v1_genomic.fna	Streptococcus agalactiae MRI Z1-023	MRI Z1-023	20122	SAMN00993342 	PRJNA86389	Terrabacteria group	Firmicutes	GCA_000311425.1 	2.09792	35.5	-	ANEN01	23	2113	2020	2012/11/07	2015/08/09	Contig
GCA_000311445.1_ASM31144v1_genomic.fna	Streptococcus agalactiae str. Gottschalk 31825	Gottschalk 31825	20122	SAMN00991143 	PRJNA86447	Terrabacteria group	Firmicutes	GCA_000311445.1 	2.04373	35.3	-	ANFB01	27	2042	1963	2012/11/07	2015/08/09	Contig
GCA_000311465.1_ASM31146v1_genomic.fna	Streptococcus agalactiae FSL S3-023	FSL S3-023	20122	SAMN00991082 	PRJNA86179	Terrabacteria group	Firmicutes	GCA_000311465.1 	2.04146	35.3	-	ANCP01	20	2035	1963	2012/11/07	2015/08/09	Contig
GCA_000311485.1_ASM31148v1_genomic.fna	Streptococcus agalactiae FSL S3-137	FSL S3-137	20122	SAMN00991069 	PRJNA86193	Terrabacteria group	Firmicutes	GCA_000311485.1 	2.057	35.2	-	ANCU01	22	2068	2003	2012/11/07	2015/08/09	Contig
GCA_000311505.1_ASM31150v1_genomic.fna	Streptococcus agalactiae FSL S3-001	FSL S3-001	20122	SAMN00991072 	PRJNA86201	Terrabacteria group	Firmicutes	GCA_000311505.1 	2.05865	35.3	-	ANCX01	22	2055	1986	2012/11/07	2015/08/09	Contig
GCA_000311525.1_ASM31152v1_genomic.fna	Streptococcus agalactiae CCUG 29376	CCUG 29376	20122	SAMN00991064 	PRJNA86217	Terrabacteria group	Firmicutes	GCA_000311525.1 	2.18732	35.4	-	ANDB01	24	2190	2133	2012/11/07	2015/08/09	Contig
GCA_000311545.1_ASM31154v1_genomic.fna	Streptococcus agalactiae CCUG 30636	CCUG 30636	20122	SAMN00991065 	PRJNA86221	Terrabacteria group	Firmicutes	GCA_000311545.1 	2.0568	35.3	-	ANDD01	22	2048	1978	2012/11/07	2015/08/09	Contig
GCA_000311565.1_ASM31156v1_genomic.fna	Streptococcus agalactiae CCUG 37739	CCUG 37739	20122	SAMN00991110 	PRJNA86231	Terrabacteria group	Firmicutes	GCA_000311565.1 	1.9832	35.2	-	ANDF01	22	1986	1907	2012/11/07	2015/08/09	Contig
GCA_000311585.1_ASM31158v1_genomic.fna	Streptococcus agalactiae CCUG 44140	CCUG 44140	20122	SAMN00991090 	PRJNA86253	Terrabacteria group	Firmicutes	GCA_000311585.1 	2.04111	35.2	-	ANDL01	22	2043	1976	2012/11/07	2015/08/09	Contig
GCA_000311605.1_ASM31160v1_genomic.fna	Streptococcus agalactiae CCUG 45061	CCUG 45061	20122	SAMN00991099 	PRJNA86257	Terrabacteria group	Firmicutes	GCA_000311605.1 	2.18238	35.3	-	ANDN01	41	2185	2092	2012/11/07	2015/08/09	Contig
GCA_000311625.1_ASM31162v1_genomic.fna	Streptococcus agalactiae CCUG 49072	CCUG 49072	20122	SAMN00991095 	PRJNA86261	Terrabacteria group	Firmicutes	GCA_000311625.1 	2.05771	35.3	-	ANDP01	21	2044	1987	2012/11/07	2015/08/09	Contig
GCA_000311645.1_ASM31164v1_genomic.fna	Streptococcus agalactiae CCUG 49086	CCUG 49086	20122	SAMN00991088 	PRJNA86263	Terrabacteria group	Firmicutes	GCA_000311645.1 	2.07722	35.4	-	ANDQ01	32	2084	1990	2012/11/07	2015/08/09	Contig
GCA_000311665.1_ASM31166v1_genomic.fna	Streptococcus agalactiae BSU454	BSU454	20122	SAMN00991120 	PRJNA86293	Terrabacteria group	Firmicutes	GCA_000311665.1 	2.0947	35.4	-	ANDY01	28	2093	2016	2012/11/07	2015/08/09	Contig
GCA_000311685.1_SAG95_v1_genomic.fna	Streptococcus agalactiae BSU248	BSU248	20122	SAMN00991117 	PRJNA86297	Terrabacteria group	Firmicutes	GCA_000311685.1 	2.10712	35.1	-	ANDZ01	21	2107	2040	2012/11/07	2015/08/09	Contig
GCA_000311705.1_ASM31170v1_genomic.fna	Streptococcus agalactiae BSU253	BSU253	20122	SAMN00991114 	PRJNA86303	Terrabacteria group	Firmicutes	GCA_000311705.1 	1.92443	35.2	-	ANEB01	21	1905	1837	2012/11/07	2015/08/09	Contig
GCA_000322485.1_ASM32248v1_genomic.fna	Streptococcus agalactiae GB00919	GB00919	20122	SAMN02436256 	PRJNA86571	Terrabacteria group	Firmicutes	GCA_000322485.1 	2.25679	35.3	-	ANQW01	43	2266	2170	2012/12/17	2015/08/09	Contig
GCA_000322505.1_ASM32250v1_genomic.fna	Streptococcus agalactiae GB00999	GB00999	20122	SAMN02436308 	PRJNA86611	Terrabacteria group	Firmicutes	GCA_000322505.1 	2.09601	35.4	-	ANQP01	22	2079	2014	2012/12/17	2015/08/09	Contig
GCA_000322525.1_ASM32252v1_genomic.fna	Streptococcus agalactiae MRI Z1-200	MRI Z1-200	20122	SAMN02436213 	PRJNA86333	Terrabacteria group	Firmicutes	GCA_000322525.1 	2.06955	35.4	-	ANQM01	22	2080	2001	2012/12/17	2015/08/09	Contig
GCA_000322545.1_ASM32254v1_genomic.fna	Streptococcus agalactiae MRI Z1-201	MRI Z1-201	20122	SAMN02436251 	PRJNA86335	Terrabacteria group	Firmicutes	GCA_000322545.1 	2.01482	35.4	-	ANQL01	19	2013	1918	2012/12/17	2015/08/09	Contig
GCA_000322565.1_ASM32256v1_genomic.fna	Streptococcus agalactiae FSL S3-034	FSL S3-034	20122	SAMN02436209 	PRJNA86149	Terrabacteria group	Firmicutes	GCA_000322565.1 	2.25589	35.7	-	ANPZ01	106	2317	2161	2012/12/17	2015/08/14	Contig
GCA_000322585.1_ASM32258v1_genomic.fna	Streptococcus agalactiae FSL S3-027	FSL S3-027	20122	SAMN02436304 	PRJNA86161	Terrabacteria group	Firmicutes	GCA_000322585.1 	2.16744	35.4	-	ANPU01	123	2153	2070	2012/12/17	2015/08/09	Contig
GCA_000322605.1_ASM32260v1_genomic.fna	Streptococcus agalactiae FSL S3-568	FSL S3-568	20122	SAMN02436187 	PRJNA86177	Terrabacteria group	Firmicutes	GCA_000322605.1 	2.20121	35.7	-	ANPR01	202	2230	2064	2012/12/17	2015/08/09	Contig
GCA_000322625.1_ASM32262v1_genomic.fna	Streptococcus agalactiae FSL F2-338	FSL F2-338	20122	SAMN00991070 	PRJNA86197	Terrabacteria group	Firmicutes	GCA_000322625.1 	2.16277	35.8	-	ANPQ01	69	2141	2028	2012/12/17	2015/08/09	Contig
GCA_000322645.1_ASM32264v1_genomic.fna	Streptococcus agalactiae GB00954	GB00954	20122	SAMN02436255 	PRJNA86591	Terrabacteria group	Firmicutes	GCA_000322645.1 	2.09294	35.4	-	ANQT01	91	2117	2027	2012/12/17	2015/08/09	Contig
GCA_000322665.1_ASM32266v1_genomic.fna	Streptococcus agalactiae GB00965	GB00965	20122	SAMN02436214 	PRJNA86601	Terrabacteria group	Firmicutes	GCA_000322665.1 	2.05797	35.3	-	ANQQ01	37	2047	1990	2012/12/17	2015/08/09	Contig
GCA_000322685.1_ASM32268v1_genomic.fna	Streptococcus agalactiae GB01004	GB01004	20122	SAMN02436252 	PRJNA86615	Terrabacteria group	Firmicutes	GCA_000322685.1 	2.06117	35.5	-	ANQN01	82	2041	1943	2012/12/17	2015/08/09	Contig
GCA_000322705.1_ASM32270v1_genomic.fna	Streptococcus agalactiae MRI Z1-203	MRI Z1-203	20122	SAMN02436258 	PRJNA86339	Terrabacteria group	Firmicutes	GCA_000322705.1 	2.02515	35.4	-	ANQJ01	20	2029	1950	2012/12/17	2015/08/09	Contig
GCA_000322725.1_ASM32272v1_genomic.fna	Streptococcus agalactiae MRI Z1-206	MRI Z1-206	20122	SAMN02436211 	PRJNA86345	Terrabacteria group	Firmicutes	GCA_000322725.1 	2.06187	35.3	-	ANQG01	22	2059	1990	2012/12/17	2015/08/09	Contig
GCA_000322745.1_ASM32274v1_genomic.fna	Streptococcus agalactiae FSL S3-062	FSL S3-062	20122	SAMN02436305 	PRJNA86137	Terrabacteria group	Firmicutes	GCA_000322745.1 	2.12085	35.5	-	ANQF01	108	2235	2084	2012/12/17	2015/07/30	Contig
GCA_000322785.1_ASM32278v1_genomic.fna	Streptococcus agalactiae FSL S3-608	FSL S3-608	20122	SAMN02436189 	PRJNA86147	Terrabacteria group	Firmicutes	GCA_000322785.1 	2.4621	35.9	-	ANQA01	108	2484	2287	2012/12/17	2015/08/14	Contig
GCA_000322805.1_ASM32280v1_genomic.fna	Streptococcus agalactiae FSL S3-077	FSL S3-077	20122	SAMN02436215 	PRJNA86133	Terrabacteria group	Firmicutes	GCA_000322805.1 	2.29297	35.6	-	ANPY01	91	2334	2184	2012/12/17	2015/07/30	Contig
GCA_000322825.1_ASM32282v1_genomic.fna	Streptococcus agalactiae FSL S3-654	FSL S3-654	20122	SAMN02436188 	PRJNA86135	Terrabacteria group	Firmicutes	GCA_000322825.1 	2.27183	35.7	-	ANPX01	102	2369	2159	2012/12/17	2015/08/14	Contig
GCA_000322845.1_ASM32284v1_genomic.fna	Streptococcus agalactiae MRI Z1-218	MRI Z1-218	20122	SAMN00993320 	PRJNA86421	Terrabacteria group	Firmicutes	GCA_000322845.1 	2.09352	35.2	-	ANPP01	25	2102	2026	2012/12/17	2015/08/09	Contig
GCA_000322865.1_ASM32286v1_genomic.fna	Streptococcus agalactiae GB00900	GB00900	20122	SAMN02436309 	PRJNA86559	Terrabacteria group	Firmicutes	GCA_000322865.1 	2.19245	35.7	-	ANQX01	49	2213	2125	2012/12/17	2015/08/09	Contig
GCA_000322885.1_ASM32288v1_genomic.fna	Streptococcus agalactiae GB00940	GB00940	20122	SAMN02436193 	PRJNA86585	Terrabacteria group	Firmicutes	GCA_000322885.1 	1.99863	35.3	-	ANQV01	51	1970	1880	2012/12/17	2015/08/09	Contig
GCA_000322905.1_ASM32290v1_genomic.fna	Streptococcus agalactiae GB00951	GB00951	20122	SAMN02436192 	PRJNA86589	Terrabacteria group	Firmicutes	GCA_000322905.1 	2.05019	35.2	-	ANQU01	36	2000	1926	2012/12/17	2015/07/30	Contig
GCA_000322925.1_ASM32292v1_genomic.fna	Streptococcus agalactiae GB00957	GB00957	20122	SAMN02436254 	PRJNA86595	Terrabacteria group	Firmicutes	GCA_000322925.1 	1.9785	35.2	-	ANQS01	29	1964	1887	2012/12/17	2015/08/09	Contig
GCA_000322945.1_ASM32294v1_genomic.fna	Streptococcus agalactiae GB00963	GB00963	20122	SAMN02436253 	PRJNA86599	Terrabacteria group	Firmicutes	GCA_000322945.1 	2.04932	35.2	-	ANQR01	35	2041	1931	2012/12/17	2015/08/09	Contig
GCA_000322965.1_ASM32296v1_genomic.fna	Streptococcus agalactiae GB01003	GB01003	20122	SAMN02436307 	PRJNA86613	Terrabacteria group	Firmicutes	GCA_000322965.1 	2.03786	35.2	-	ANQO01	21	2030	1966	2012/12/17	2015/08/09	Contig
GCA_000322985.1_ASM32298v1_genomic.fna	Streptococcus agalactiae MRI Z1-202	MRI Z1-202	20122	SAMN02436191 	PRJNA86337	Terrabacteria group	Firmicutes	GCA_000322985.1 	1.96844	35.5	-	ANQK01	18	1961	1874	2012/12/17	2015/08/09	Contig
GCA_000323005.1_ASM32300v1_genomic.fna	Streptococcus agalactiae MRI Z1-204	MRI Z1-204	20122	SAMN02436212 	PRJNA86341	Terrabacteria group	Firmicutes	GCA_000323005.1 	2.00754	35.2	-	ANQI01	18	2010	1940	2012/12/17	2015/08/09	Contig
GCA_000323025.1_ASM32302v1_genomic.fna	Streptococcus agalactiae MRI Z1-205	MRI Z1-205	20122	SAMN02436306 	PRJNA86343	Terrabacteria group	Firmicutes	GCA_000323025.1 	2.12808	35.3	-	ANQH01	24	2135	2058	2012/12/17	2015/08/09	Contig
GCA_000323045.1_ASM32304v1_genomic.fna	Streptococcus agalactiae STIR-CD-01	STIR-CD-01	20122	SAMN02436257 	PRJNA86347	Terrabacteria group	Firmicutes	GCA_000323045.1 	2.08605	35.5	-	ANQE01	42	2069	1998	2012/12/17	2015/08/09	Contig
GCA_000323065.2_ASM32306v2_genomic.fna	Streptococcus agalactiae LMG 14747	LMG 14747	21970	SAMN01822993 	PRJNA86379	Terrabacteria group	Firmicutes	GCA_000323065.2 	2.21834	39.7	-	ANQC01	150	2284	2043	2012/12/17	2015/08/14	Contig
GCA_000323085.1_ASM32308v1_genomic.fna	Streptococcus agalactiae CCUG 34230	CCUG 34230	20122	SAMN02436210 	PRJNA86383	Terrabacteria group	Firmicutes	GCA_000323085.1 	2.16869	35.5	-	ANQB01	16	2136	2070	2012/12/17	2015/08/09	Contig
GCA_000323105.1_ASM32310v1_genomic.fna	Streptococcus agalactiae FSL S3-222	FSL S3-222	20122	SAMN01888211 	PRJNA86151	Terrabacteria group	Firmicutes	GCA_000323105.1 	2.20712	35.4	-	ANPW01	101	2187	2102	2012/12/17	2015/08/09	Contig
GCA_000323125.1_ASM32312v1_genomic.fna	Streptococcus agalactiae FSL S3-229	FSL S3-229	20122	SAMN01888210 	PRJNA86159	Terrabacteria group	Firmicutes	GCA_000323125.1 	2.20318	35.4	-	ANPV01	94	2188	2106	2012/12/17	2015/08/09	Contig
GCA_000323145.1_ASM32314v1_genomic.fna	Streptococcus agalactiae FSL S3-043	FSL S3-043	20122	SAMN01888214 	PRJNA86165	Terrabacteria group	Firmicutes	GCA_000323145.1 	2.10116	35.4	-	ANPT01	185	2100	1959	2012/12/17	2015/08/09	Contig
GCA_000323165.1_ASM32316v1_genomic.fna	Streptococcus agalactiae FSL S3-128	FSL S3-128	20122	SAMN01888209 	PRJNA86173	Terrabacteria group	Firmicutes	GCA_000323165.1 	2.20712	35.4	-	ANPS01	101	2187	2102	2012/12/17	2015/08/09	Contig
GCA_000344905.1_ASM34490v1_genomic.fna	Streptococcus agalactiae LADL-90-503	LADL-90-503	20122	SAMEA2272027 	PRJEB1142	Terrabacteria group	Firmicutes	GCA_000344905.1 	1.80425	35.3	-	CAPZ01	82	1786	1648	2013/03/03	2015/08/10	Contig
GCA_000347375.1_ASM34737v1_genomic.fna	Streptococcus agalactiae SS1219	SS1219	20122	SAMEA2272287 	PRJEB1141	Terrabacteria group	Firmicutes	GCA_000347375.1 	1.80167	35.3	-	CAQA01	70	1778	1640	2013/03/10	2015/08/10	Contig
GCA_000347395.1_ASM34739v1_genomic.fna	Streptococcus agalactiae LADL_05-108a	LADL_05-108a	20122	SAMEA2272359 	PRJEB1143	Terrabacteria group	Firmicutes	GCA_000347395.1 	1.80009	35.3	-	CATH01	87	1786	1641	2013/03/10	2015/08/14	Contig
GCA_000372605.1_SA_version_1_genomic.fna	Streptococcus agalactiae PR06	PR06	20122	SAMN02471433 	PRJNA185399	Terrabacteria group	Firmicutes	GCA_000372605.1 	2.12075	35.3	-	AOSD01	67	2108	2045	2013/04/19	2015/08/10	Contig
GCA_000454745.1_Final_Assembly_genomic.fna	Streptococcus agalactiae SGBS020	SGBS020	20122	SAMN01774142 	PRJNA177833	Terrabacteria group	Firmicutes	GCA_000454745.1 	2.16327	35.4	-	AUWB01	22	2154	2091	2013/08/26	2015/08/10	Contig
GCA_000454765.1_Final_Assembly_genomic.fna	Streptococcus agalactiae SGBS005	SGBS005	20122	SAMN01774135 	PRJNA177826	Terrabacteria group	Firmicutes	GCA_000454765.1 	2.06981	35.3	-	AUVU01	25	2059	1987	2013/08/26	2015/08/10	Contig
GCA_000454785.1_Final_Assembly_genomic.fna	Streptococcus agalactiae SGBS004	SGBS004	20122	SAMN01774134 	PRJNA177825	Terrabacteria group	Firmicutes	GCA_000454785.1 	2.06197	35.3	-	AUVT01	23	2053	1978	2013/08/26	2015/08/10	Contig
GCA_000454805.1_Final_Assembly_genomic.fna	Streptococcus agalactiae SGBS003	SGBS003	20122	SAMN01774133 	PRJNA177824	Terrabacteria group	Firmicutes	GCA_000454805.1 	2.07582	35.3	-	AUVS01	24	2067	1999	2013/08/26	2015/08/10	Contig
GCA_000454825.1_Final_Assembly_genomic.fna	Streptococcus agalactiae SGBS002	SGBS002	20122	SAMN01774132 	PRJNA177823	Terrabacteria group	Firmicutes	GCA_000454825.1 	2.06314	35.3	-	AUVR01	21	2042	1980	2013/08/26	2015/08/10	Contig
GCA_000454845.1_Final_Assembly_genomic.fna	Streptococcus agalactiae SGBS006	SGBS006	20122	SAMN01774136 	PRJNA177827	Terrabacteria group	Firmicutes	GCA_000454845.1 	2.06144	35.3	-	AUVV01	23	2049	1979	2013/08/26	2015/08/10	Contig
GCA_000454865.1_Final_Assembly_genomic.fna	Streptococcus agalactiae SGBS001	SGBS001	20122	SAMN01774131 	PRJNA177822	Terrabacteria group	Firmicutes	GCA_000454865.1 	2.06034	35.3	-	AUVQ01	23	2049	1980	2013/08/26	2015/08/10	Contig
GCA_000454885.1_Final_Assembly_genomic.fna	Streptococcus agalactiae SGBS014	SGBS014	20122	SAMN01774139 	PRJNA177830	Terrabacteria group	Firmicutes	GCA_000454885.1 	2.09868	35.4	-	AUVY01	28	2107	2038	2013/08/26	2015/08/10	Contig
GCA_000454905.1_Final_Assembly_genomic.fna	Streptococcus agalactiae SGBS015	SGBS015	20122	SAMN01774140 	PRJNA177831	Terrabacteria group	Firmicutes	GCA_000454905.1 	2.14664	35.4	-	AUVZ01	24	2138	2060	2013/08/26	2015/08/10	Contig
GCA_000454925.1_Final_Assembly_genomic.fna	Streptococcus agalactiae SGBS016	SGBS016	20122	SAMN01774141 	PRJNA177832	Terrabacteria group	Firmicutes	GCA_000454925.1 	2.10699	35.4	-	AUWA01	25	2109	2039	2013/08/26	2015/08/10	Contig
